date,appliance_type,ambient_temperature,process_temperature,rotational_speed,torque,service_required,TWF,HDF,PWF,OSF,RNF,temp_diff,device_age_months,failure_risk_score,risk_category,device_id,day,power_consumption_kwh,ambient_temperature_energy,usage_hours_daily,energy_per_hour,region,appliance_type_energy
12,H,298.6,309.1,1423.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.9666666666666667,0.008726934,Low Risk,11,2016-04-19,10.43,8.893055555555556,2.4,4.345833333333333,South,Washing Machine
13,M,298.6,309.1,1339.0,51.1,0.0,0.0,0.0,0.0,0.0,0.0,10.5,1.1333333333333333,0.004512242,Low Risk,12,2016-04-23,15.120000000000001,7.106597222222223,2.4,6.300000000000001,East,Refrigerator
14,M,298.6,309.2,1742.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.599999999999966,1.2333333333333334,0.002058775,Low Risk,13,2016-05-20,9.32,13.777430555555556,2.4,3.8833333333333337,North,Washing Machine
15,L,298.6,309.2,2035.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,10.599999999999966,1.3333333333333333,0.0035654437,Low Risk,14,2016-03-03,11.81,4.016666666666667,2.4,4.920833333333333,South,Refrigerator
16,L,298.6,309.2,1542.0,48.4,0.0,0.0,0.0,0.0,0.0,0.0,10.599999999999966,1.4,0.005561408,Low Risk,15,2016-01-12,12.34,5.566319444444444,2.4,5.141666666666667,South,AC
17,M,298.6,309.2,1311.0,46.6,0.0,0.0,0.0,0.0,0.0,0.0,10.599999999999966,1.4666666666666666,0.0020174205,Low Risk,16,2016-04-07,9.91,7.427083333333333,2.4,4.129166666666667,South,AC
18,M,298.7,309.2,1410.0,45.6,0.0,0.0,0.0,0.0,0.0,0.0,10.5,1.5666666666666667,0.008715853,Low Risk,17,2016-02-17,9.620000000000001,-0.4972222222222222,2.4,4.008333333333334,North,Refrigerator
19,H,298.8,309.2,1306.0,54.5,0.0,0.0,0.0,0.0,0.0,0.0,10.399999999999977,1.6666666666666667,0.0018531838,Low Risk,18,2016-05-19,10.08,12.264583333333333,2.4,4.2,North,Refrigerator
20,M,298.9,309.3,1632.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,10.400000000000034,1.8333333333333333,0.0015693959,Low Risk,19,2016-01-31,18.64,7.171527777777778,2.4,7.7666666666666675,West,Refrigerator
21,H,298.9,309.3,1375.0,42.7,0.0,0.0,0.0,0.0,0.0,0.0,10.400000000000034,1.9333333333333333,0.0025687828,Low Risk,20,2016-03-08,10.77,3.252083333333333,2.4,4.4875,South,Washing Machine
22,L,298.8,309.3,1450.0,44.8,0.0,0.0,0.0,0.0,0.0,0.0,10.5,2.1,0.004431131,Low Risk,21,2016-02-01,22.45,10.956597222222221,2.4,9.354166666666666,North,Washing Machine
23,M,298.9,309.3,1581.0,30.7,0.0,0.0,0.0,0.0,0.0,0.0,10.400000000000034,2.1666666666666665,0.0016594493,Low Risk,22,2016-04-08,19.36,7.957986111111111,2.4,8.066666666666666,East,Washing Machine
24,L,299.0,309.4,1758.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,10.399999999999977,2.2666666666666666,0.0024568452,Low Risk,23,2016-02-28,7.7,2.54375,2.4,3.2083333333333335,North,Refrigerator
25,M,299.0,309.4,1561.0,37.3,0.0,0.0,0.0,0.0,0.0,0.0,10.399999999999977,2.3333333333333335,0.0019602168,Low Risk,24,2016-03-09,12.5,5.178819444444445,2.4,5.208333333333334,East,Washing Machine
26,L,299.0,309.5,1861.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,10.5,2.433333333333333,0.0047763647,Low Risk,25,2016-01-25,9.47,9.531597222222222,2.4,3.9458333333333337,West,Washing Machine
27,L,299.1,309.5,1512.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,10.399999999999977,2.5,0.0039010174,Low Risk,26,2016-03-01,10.42,2.4524305555555554,2.4,4.341666666666667,West,AC
28,H,299.1,309.4,1811.0,24.6,0.0,0.0,0.0,0.0,0.0,0.0,10.299999999999955,2.566666666666667,0.0015963947,Low Risk,27,2016-04-27,10.81,4.772916666666666,2.4,4.504166666666667,West,AC
29,L,299.1,309.4,1439.0,44.2,0.0,0.0,0.0,0.0,0.0,0.0,10.299999999999955,2.7333333333333334,0.0076793944,Low Risk,28,2016-03-05,13.16,2.7503472222222225,2.4,5.483333333333333,South,Washing Machine
30,L,299.0,309.4,1693.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.399999999999977,2.8,0.00279492,Low Risk,29,2016-03-14,23.62,3.107291666666667,2.4,9.841666666666667,West,AC
31,M,299.1,309.5,1339.0,48.2,0.0,0.0,0.0,0.0,0.0,0.0,10.399999999999977,2.8666666666666667,0.007251685,Low Risk,30,2016-05-20,9.32,13.777430555555556,2.4,3.8833333333333337,North,Washing Machine
32,L,299.0,309.4,1798.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,10.399999999999977,2.966666666666667,0.0036949413,Low Risk,31,2016-03-01,10.42,2.4524305555555554,2.4,4.341666666666667,West,AC
33,L,299.0,309.4,1419.0,48.3,0.0,0.0,0.0,0.0,0.0,0.0,10.399999999999977,3.033333333333333,0.016650043,Low Risk,32,2016-05-24,13.85,11.568750000000001,2.4,5.770833333333333,North,AC
34,L,298.9,309.3,1665.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,10.400000000000034,3.1,0.0023130642,Low Risk,33,2016-01-31,18.64,7.171527777777778,2.4,7.7666666666666675,West,Refrigerator
35,M,298.8,309.1,1559.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,3.1666666666666665,0.0021288758,Low Risk,34,2016-03-23,12.25,7.007638888888888,2.4,5.104166666666667,East,Washing Machine
36,M,298.8,309.2,1452.0,48.6,0.0,0.0,0.0,0.0,0.0,0.0,10.399999999999977,3.2666666666666666,0.0037751677,Low Risk,35,2016-01-28,5.4,5.8694444444444445,2.4,2.2500000000000004,East,Washing Machine
37,M,298.9,309.2,1581.0,36.7,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,3.3666666666666667,0.0025033155,Low Risk,36,2016-05-21,23.28,17.851041666666667,2.4,9.700000000000001,North,AC
38,L,298.8,309.1,1439.0,39.2,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,3.466666666666667,0.0064762495,Low Risk,37,2016-04-08,19.36,7.957986111111111,2.4,8.066666666666666,East,Washing Machine
39,H,298.9,309.2,1379.0,50.7,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,3.533333333333333,0.0035337834,Low Risk,38,2016-03-10,13.38,4.634375,2.4,5.575,West,Washing Machine
40,L,298.8,309.1,1350.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,3.7,0.007901204,Low Risk,39,2016-01-24,21.64,6.887847222222223,2.4,9.016666666666667,East,Washing Machine
41,L,298.8,309.1,1362.0,45.4,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,3.7666666666666666,0.006795259,Low Risk,40,2016-01-19,11.99,-2.9291666666666667,2.4,4.995833333333334,West,Refrigerator
42,L,298.8,309.1,1368.0,50.8,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,3.8333333333333335,0.008373616,Low Risk,41,2016-04-09,15.15,8.958680555555555,2.4,6.3125,North,AC
43,M,298.8,309.1,1368.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,3.9,0.0054354095,Low Risk,42,2016-03-03,11.81,4.016666666666667,2.4,4.920833333333333,South,Refrigerator
44,H,298.8,309.2,1372.0,48.5,0.0,0.0,0.0,0.0,0.0,0.0,10.399999999999977,4.0,0.0047701285,Low Risk,43,2016-05-19,10.08,12.264583333333333,2.4,4.2,North,Refrigerator
45,M,298.8,309.1,1472.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,4.166666666666667,0.003585854,Low Risk,44,2016-04-03,10.34,15.3125,2.4,4.308333333333334,East,AC
46,L,298.8,309.1,1489.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,4.266666666666667,0.0068872045,Low Risk,45,2016-04-11,11.21,12.888541666666667,2.4,4.670833333333334,East,Refrigerator
47,M,298.7,309.0,1843.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,4.333333333333333,0.0026504402,Low Risk,46,2016-04-30,20.22,7.4906250000000005,2.4,8.425,South,Washing Machine
48,L,298.8,309.1,1418.0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,4.433333333333334,0.011882047,Low Risk,47,2016-01-18,13.530000000000001,-2.9378472222222225,2.4,5.637500000000001,North,Refrigerator
49,H,298.8,309.2,1425.0,53.9,0.0,0.0,0.0,0.0,0.0,0.0,10.399999999999977,4.5,0.012108466,Low Risk,48,2016-02-14,14.75,2.732291666666667,2.4,6.145833333333334,East,Refrigerator
50,M,298.9,309.2,1412.0,44.1,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,4.666666666666667,0.0057304096,Low Risk,49,2016-03-31,11.4,6.925,2.4,4.75,North,Refrigerator
51,L,298.9,309.1,2861.0,4.6,1.0,0.0,0.0,1.0,0.0,0.0,10.200000000000045,4.766666666666667,0.99700886,High Risk,50,2016-02-29,22.63,2.153125,2.4,9.429166666666667,South,Washing Machine
52,L,298.9,309.1,1383.0,54.9,0.0,0.0,0.0,0.0,0.0,0.0,10.200000000000045,4.833333333333333,0.008859778,Low Risk,51,2016-04-23,15.120000000000001,7.106597222222223,2.4,6.300000000000001,East,Refrigerator
53,H,298.8,309.0,1497.0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,10.199999999999989,4.9,0.002738141,Low Risk,52,2016-05-21,23.28,17.851041666666667,2.4,9.700000000000001,North,AC
54,L,298.7,309.0,1565.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,5.066666666666666,0.006594468,Low Risk,53,2016-01-12,12.34,5.566319444444444,2.4,5.141666666666667,South,AC
55,L,298.7,309.0,1691.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,5.133333333333334,0.010623413,Low Risk,54,2016-05-23,11.96,12.570486111111112,2.4,4.983333333333334,South,Refrigerator
56,L,298.8,309.1,1512.0,40.7,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,5.2,0.006008156,Low Risk,55,2016-03-04,13.73,4.074305555555556,2.4,5.720833333333334,West,Refrigerator
57,L,298.8,309.1,1477.0,42.4,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,5.266666666666667,0.006280586,Low Risk,56,2016-04-25,10.82,4.853472222222222,2.4,4.508333333333334,East,Washing Machine
58,L,298.8,309.1,1513.0,40.3,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,5.333333333333333,0.006226377,Low Risk,57,2016-01-14,21.8,3.4319444444444445,2.4,9.083333333333334,South,AC
59,M,298.8,309.0,1661.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,10.199999999999989,5.4,0.04479149,Low Risk,58,2016-03-04,13.73,4.074305555555556,2.4,5.720833333333334,West,Refrigerator
60,L,298.8,309.1,1378.0,54.4,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,5.5,0.010884967,Low Risk,59,2016-02-23,12.77,4.321180555555555,2.4,5.320833333333334,South,AC
61,L,298.8,309.1,1393.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,10.300000000000011,5.566666666666666,0.009710586,Low Risk,60,2016-01-24,21.64,6.887847222222223,2.4,9.016666666666667,East,Washing Machine
62,M,298.8,309.0,1592.0,38.2,0.0,0.0,0.0,0.0,0.0,0.0,10.199999999999989,5.633333333333334,0.0048470288,Low Risk,61,2016-04-14,12.35,9.322569444444445,2.4,5.145833333333333,North,Washing Machine
63,L,298.8,309.0,1829.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,10.199999999999989,5.733333333333333,0.009580881,Low Risk,62,2016-02-27,11.99,3.060416666666667,2.4,4.995833333333334,West,Washing Machine
64,M,298.9,309.0,1812.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,10.100000000000023,5.8,0.009635736,Low Risk,63,2016-01-25,9.47,9.531597222222222,2.4,3.9458333333333337,West,Washing Machine
65,L,299.0,309.1,1523.0,38.6,0.0,0.0,0.0,0.0,0.0,0.0,10.100000000000023,5.9,0.0063466486,Low Risk,64,2016-02-19,17.15,3.1631944444444446,2.4,7.145833333333333,East,Washing Machine
66,L,299.0,309.1,1394.0,45.1,0.0,0.0,0.0,0.0,0.0,0.0,10.100000000000023,5.966666666666667,0.008956893,Low Risk,65,2016-04-01,8.58,7.143055555555555,2.4,3.575,East,Refrigerator
67,M,298.9,308.9,1679.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.033333333333333,0.038982928,Low Risk,66,2016-04-30,20.22,7.4906250000000005,2.4,8.425,South,Washing Machine
68,H,298.8,308.9,1466.0,44.1,0.0,0.0,0.0,0.0,0.0,0.0,10.099999999999966,6.133333333333334,0.008295077,Low Risk,67,2016-03-03,11.81,4.016666666666667,2.4,4.920833333333333,South,Refrigerator
69,L,298.8,308.9,1527.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,10.099999999999966,6.3,0.041737065,Low Risk,68,2016-02-03,19.14,4.886805555555555,2.4,7.9750000000000005,South,Washing Machine
70,L,298.9,309.0,1410.0,65.7,1.0,0.0,0.0,1.0,1.0,0.0,10.100000000000023,6.366666666666666,0.99649423,High Risk,69,2016-05-13,24.28,16.774652777777778,2.4,10.116666666666667,West,Washing Machine
71,M,298.9,309.0,1924.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,10.100000000000023,6.433333333333334,0.025563313,Low Risk,70,2016-02-20,14.51,8.41875,2.4,6.045833333333333,West,AC
72,L,298.9,309.1,1452.0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,10.200000000000045,6.533333333333333,0.02440875,Low Risk,71,2016-01-25,9.47,9.531597222222222,2.4,3.9458333333333337,West,Washing Machine
73,L,298.9,309.1,1369.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,10.200000000000045,6.6,0.025584886,Low Risk,72,2016-02-24,11.23,2.0218749999999996,2.4,4.679166666666667,South,Refrigerator
74,L,299.0,309.1,1592.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,10.100000000000023,6.666666666666667,0.03894256,Low Risk,73,2016-03-15,14.01,4.321180555555555,2.4,5.8375,West,AC
75,L,298.9,309.0,1601.0,32.3,0.0,0.0,0.0,0.0,0.0,0.0,10.100000000000023,6.733333333333333,0.039753247,Low Risk,74,2016-04-08,19.36,7.957986111111111,2.4,8.066666666666666,East,Washing Machine
76,L,298.8,308.9,1379.0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,10.099999999999966,6.8,0.6193993,High Risk,75,2016-03-21,11.200000000000001,6.973958333333333,2.4,4.666666666666667,North,AC
77,L,298.8,308.9,1461.0,47.9,0.0,0.0,0.0,0.0,0.0,0.0,10.099999999999966,6.866666666666666,0.47150174,Medium Risk,76,2016-01-19,11.99,-2.9291666666666667,2.4,4.995833333333334,West,Refrigerator
78,L,298.8,308.9,1455.0,41.3,1.0,1.0,0.0,0.0,0.0,0.0,10.099999999999966,6.933333333333334,0.73983335,High Risk,77,2016-04-07,9.91,7.427083333333333,2.4,4.129166666666667,South,AC
79,L,298.8,308.9,1398.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,10.099999999999966,0.0,0.005147192,Low Risk,78,2016-05-18,11.84,12.92361111111111,2.4,4.933333333333334,North,Refrigerator
80,L,298.8,308.9,1402.0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,10.099999999999966,0.06666666666666667,0.0021170438,Low Risk,79,2016-05-25,12.08,11.563541666666666,2.4,5.033333333333333,South,Washing Machine
81,H,298.8,308.8,1445.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.13333333333333333,0.0035721515,Low Risk,80,2016-03-13,9.780000000000001,3.911805555555555,2.4,4.075000000000001,South,Refrigerator
82,L,298.9,308.9,1450.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.3,0.0032759502,Low Risk,81,2016-03-31,11.4,6.925,2.4,4.75,North,Refrigerator
83,L,298.9,308.9,1453.0,40.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.36666666666666664,0.0015217607,Low Risk,82,2016-05-25,12.08,11.563541666666666,2.4,5.033333333333333,South,Washing Machine
84,L,299.0,309.0,1469.0,40.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.43333333333333335,0.0011364325,Low Risk,83,2016-02-12,16.97,3.213888888888889,2.4,7.070833333333333,West,Washing Machine
85,L,298.9,308.9,1422.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.5,0.02060145,Low Risk,84,2016-05-12,10.4,16.525694444444444,2.4,4.333333333333334,South,AC
86,M,299.0,309.0,1804.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.5666666666666667,0.001544572,Low Risk,85,2016-01-15,18.05,2.665277777777778,2.4,7.520833333333334,East,Refrigerator
87,H,299.0,309.0,1436.0,43.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.6666666666666666,0.0052975835,Low Risk,86,2016-02-20,14.51,8.41875,2.4,6.045833333333333,West,AC
88,L,299.0,309.0,1544.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.8333333333333334,0.0018971511,Low Risk,87,2016-02-07,11.43,8.263541666666667,2.4,4.7625,North,AC
89,M,299.0,309.0,1419.0,45.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9,0.0109053515,Low Risk,88,2016-05-24,13.85,11.568750000000001,2.4,5.770833333333333,North,AC
90,M,298.9,308.9,1487.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0024864422,Low Risk,89,2016-03-22,10.24,6.911805555555556,2.4,4.266666666666667,North,Refrigerator
91,L,298.9,308.9,1753.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.1,0.0014341746,Low Risk,90,2016-01-22,6.58,1.5989583333333333,2.4,2.7416666666666667,North,Washing Machine
92,L,298.9,308.9,1830.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.1666666666666667,0.0014341746,Low Risk,91,2016-02-12,16.97,3.213888888888889,2.4,7.070833333333333,West,Washing Machine
93,M,298.9,308.9,1727.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.2333333333333334,0.001544572,Low Risk,92,2016-02-27,11.99,3.060416666666667,2.4,4.995833333333334,West,Washing Machine
94,L,299.1,309.0,1450.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999977,1.3333333333333333,0.0021013652,Low Risk,93,2016-03-12,14.2,4.529861111111111,2.4,5.916666666666667,South,Washing Machine
95,L,299.0,308.9,1622.0,31.9,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999977,1.4,0.001706581,Low Risk,94,2016-02-16,13.42,0.08749999999999998,2.4,5.591666666666667,North,Washing Machine
96,M,299.0,309.0,1351.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.4666666666666666,0.0051276414,Low Risk,95,2016-04-18,10.34,6.659722222222222,2.4,4.308333333333334,East,Washing Machine
97,M,299.0,309.0,1575.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.5666666666666667,0.0018081538,Low Risk,96,2016-04-23,15.120000000000001,7.106597222222223,2.4,6.300000000000001,East,Refrigerator
98,M,298.9,308.9,1750.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.6666666666666667,0.0016884345,Low Risk,97,2016-02-14,14.75,2.732291666666667,2.4,6.145833333333334,East,Refrigerator
99,L,298.9,308.8,1529.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,9.900000000000034,1.7666666666666666,0.002436414,Low Risk,98,2016-04-20,11.61,8.882291666666667,2.4,4.8375,East,AC
100,L,298.8,308.8,1523.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.8333333333333333,0.0030667463,Low Risk,99,2016-05-20,9.32,13.777430555555556,2.4,3.8833333333333337,North,Washing Machine
101,L,298.8,308.9,1852.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099999999999966,1.9,0.0018093833,Low Risk,100,2016-01-11,5.74,5.9226190476190474,0.7,8.200000000000001,South,AC
102,L,298.8,308.8,1991.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.9666666666666666,0.0019722935,Low Risk,101,2016-01-15,18.05,2.665277777777778,2.4,7.520833333333334,East,Refrigerator
103,L,298.8,308.8,1555.0,40.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.033333333333333,0.0030667463,Low Risk,102,2016-04-22,24.57,11.141666666666667,2.4,10.2375,West,Refrigerator
104,M,298.8,308.8,1441.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.1,0.0028922847,Low Risk,103,2016-02-06,11.98,9.75173611111111,2.4,4.991666666666667,South,Refrigerator
105,L,298.8,308.7,1450.0,43.4,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999977,2.2,0.0034470523,Low Risk,104,2016-05-26,21.17,14.92361111111111,2.4,8.820833333333335,East,AC
106,L,298.8,308.7,1591.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999977,2.2666666666666666,0.002979443,Low Risk,105,2016-01-25,9.47,9.531597222222222,2.4,3.9458333333333337,West,Washing Machine
107,L,298.8,308.7,1445.0,48.5,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999977,2.3333333333333335,0.008815228,Low Risk,106,2016-04-09,15.15,8.958680555555555,2.4,6.3125,North,AC
108,M,298.8,308.8,1497.0,46.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.4,0.00569383,Low Risk,107,2016-02-21,12.76,10.849652777777777,2.4,5.316666666666666,South,AC
109,H,298.9,308.8,1621.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,9.900000000000034,2.5,0.0012507513,Low Risk,108,2016-05-13,24.28,16.774652777777778,2.4,10.116666666666667,West,Washing Machine
110,L,298.9,308.7,1572.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,9.800000000000011,2.6666666666666665,0.0037997386,Low Risk,109,2016-03-13,9.780000000000001,3.911805555555555,2.4,4.075000000000001,South,Refrigerator
111,L,298.8,308.6,1872.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,9.800000000000011,2.7333333333333334,0.0027220866,Low Risk,110,2016-04-15,18.92,11.671875,2.4,7.883333333333335,South,AC
112,H,298.7,308.6,1499.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,9.900000000000034,2.8,0.0023317535,Low Risk,111,2016-03-02,13.360000000000001,5.936805555555555,2.4,5.566666666666667,West,Refrigerator
113,M,298.8,308.7,1498.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999977,2.966666666666667,0.0029574304,Low Risk,112,2016-04-15,18.92,11.671875,2.4,7.883333333333335,South,AC
114,M,298.8,308.6,1486.0,41.9,0.0,0.0,0.0,0.0,0.0,0.0,9.800000000000011,3.066666666666667,0.0030919604,Low Risk,113,2016-05-21,23.28,17.851041666666667,2.4,9.700000000000001,North,AC
115,L,298.8,308.6,1680.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,9.800000000000011,3.1666666666666665,0.004933374,Low Risk,114,2016-02-08,21.22,7.980208333333333,2.4,8.841666666666667,West,AC
116,L,298.8,308.6,1431.0,45.7,0.0,0.0,0.0,0.0,0.0,0.0,9.800000000000011,3.2333333333333334,0.016985238,Low Risk,115,2016-02-15,16.95,2.7444444444444445,2.4,7.0625,West,AC
117,L,298.9,308.7,1564.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,9.800000000000011,3.3,0.0031311903,Low Risk,116,2016-01-23,13.4,5.860416666666667,2.4,5.583333333333334,South,Washing Machine
118,L,298.8,308.6,1599.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,9.800000000000011,3.3666666666666667,0.0042525693,Low Risk,117,2016-03-21,11.200000000000001,6.973958333333333,2.4,4.666666666666667,North,AC
119,M,298.8,308.6,1707.0,28.1,0.0,0.0,0.0,0.0,0.0,0.0,9.800000000000011,3.433333333333333,0.0048275217,Low Risk,118,2016-04-05,22.3,10.737152777777778,2.4,9.291666666666668,East,Refrigerator
120,L,298.7,308.5,1467.0,40.7,0.0,0.0,0.0,0.0,0.0,0.0,9.800000000000011,3.533333333333333,0.0044366857,Low Risk,119,2016-02-07,11.43,8.263541666666667,2.4,4.7625,North,AC
121,L,298.9,308.7,1433.0,44.7,0.0,0.0,0.0,0.0,0.0,0.0,9.800000000000011,3.6,0.007847587,Low Risk,120,2016-03-16,22.81,5.24375,2.4,9.504166666666666,East,Refrigerator
122,L,298.9,308.7,1558.0,41.2,0.0,0.0,0.0,0.0,0.0,0.0,9.800000000000011,3.6666666666666665,0.0031247966,Low Risk,121,2016-02-24,11.23,2.0218749999999996,2.4,4.679166666666667,South,Refrigerator
